GSM807403,"
H3T11ph
      ","
Active Motif
      ","
39152
      ","
258
      "
GSM807404,"
H4K5ac
      ","
Millipore
      ","
07-327
      ","
DAM1641101
      "
GSM818007,"
H2A.Z
      ","
Abcam
      ","
ab4174-100
      ","
460460
      "
GSM818008,"
H2A.Z
      ","
Abcam
      ","
ab4174-100
      ","
460460
      "
GSM818009,"
H2A.Z
      ","
Abcam
      ","
ab4174-100
      ","
460460
      "
GSM818010,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM818011,"
H2AK5ac
      ","
Abcam
      ","
ab45152
      ","
727067
      "
GSM818012,"
H2AK9ac
      ","
Upstate
      ","
07-289
      ","
22178
      "
GSM818013,"
H2AK9ac
      ","
Upstate
      ","
07-289
      ","
22178
      "
GSM818014,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM818015,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM818016,"
H2BK12ac
      ","
Abcam
      ","
ab40883
      ","
727056
      "
GSM818017,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM818018,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM818019,"
H2BK5ac
      ","
Active Motif
      ","
39123
      ","
229
      "
GSM818020,"
H3K14ac
      ","
Upstate
      ","
07-353
      ","
DAM1462567
      "
GSM818021,"
H3K14ac
      ","
Upstate
      ","
07-353
      ","
DAM1462567
      "
GSM818022,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
GSM818023,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
GSM818024,"
H3K18ac
      ","
Abcam
      ","
ab1191
      ","
527530
      "
GSM818025,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM818026,"
H3K23ac
      ","
Millipore
      ","
07-355
      ","
27133
      "
GSM818027,"
H3K23ac
      ","
Millipore
      ","
07-355
      ","
27133
      "
GSM818028,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM818029,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM818030,"
H3K23ac
      ","
Upstate
      ","
07-355
      ","
27133
      "
GSM818031,"
H3K27ac
      ","
Active Motif
      ","
39133
      ","
19208002
      "
GSM818032,"
H3K27me3
      ","
Millipore
      ","
07-449
      ","
DAM1612188
      "
GSM818033,"
H3K27me3
      ","
Active Motif
      ","
39155
      ","
30508004
      "
GSM818034,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM818035,"
H3K36me3
      ","
Abcam
      ","
ab9050
      ","
707946
      "
GSM818036,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM818037,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM818038,"
H3K4ac
      ","
Upstate
      ","
07-539
      ","
26747
      "
GSM818039,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
727417
      "
GSM818040,"
H3K4me1
      ","
Abcam
      ","
ab8895
      ","
727417
      "
GSM818041,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM818042,"
H3K4me2
      ","
Abcam
      ","
ab32356
      ","
727055
      "
GSM818043,"
H3K4me3
      ","
Active Motif
      ","
39159
      ","
15808002
      "
GSM818044,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
679856
      "
GSM818045,"
H3K79me1
      ","
Abcam
      ","
ab2886
      ","
679856
      "
GSM818046,"
H3K79me1
      ","
Abcam
      ","
Ab2886
      ","
679856
      "
GSM818047,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818048,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818049,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818050,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818051,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818052,"
H3K9ac
      ","
Active Motif
      ","
39137
      ","
1008001
      "
GSM818053,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM818054,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM818055,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM818056,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM818057,"
H3K9me3
      ","
Abcam
      ","
ab8898
      ","
699671
      "
GSM818058,"
H4K8ac
      ","
Millipore
      ","
07-328
      ","
DAM1543700
      "
GSM818059,"
H4K8ac
      ","
Millipore
      ","
07-328
      ","
DAM1543700
      "
GSM818060,"
H4K8ac
      ","
Millipore
      ","
07-328
      ","
DAM1543700
      "
GSM818061,"
H4K91ac
      ","
Abcam
      ","
ab4627
      ","
82963
      "
