biosample_term_id	biosample_term_name	biosample_label	biosample_type	organism_no	treatment_no	source_no	product_id	lot_id	subcellular_location
BTO:0000671	Kidney_BC	KIDNEYBC	missing	human	missing	BioChain; BioChain; BioChain; BioChain	CP-S12-D1234142-05_B402060; CP-S10-R1234142-20_A808055; CP-S13-D1234142-05_B402061; CP-S10-R1234142-20_B111054	missing	missing
BTO:0000671	Kidney_OC	KIDNEYOC	missing	human	missing	NICHD ; NICHD ; NICHD ; NCTC ; NICHD	1104; 602; 1442; 10-0022A; 1863	missing	missing
AMAD:7077	L1210	L1210	cellLine	mouse	missing	ATCC	CCL-219	missing	missing
BTO:0005046	LHCN-M2	LHCNM2	missing	human	missing	Dr. Woodring Wright	Missing	missing	missing
BTO:0002398	LHSR	LHSR	missing	human	missing	William Hahn at the Dana Farber Cancer Institute, Boston, MA	LHSR	missing	missing
BTO:0002021	LNCaP	LNCAP	missing	human	missing	ATCC	CRL-1740	missing	missing
AMAD:6982	LgIntestine	LGINT	tissue	mouse	missing	1)Dr. John Stamatoyannopoulos at UW; 2)CSHL lab	Large Intestine; Large Intestine	missing	missing
AMAD:7127	Limb	LIMB	tissue	mouse	missing	1)LICR lab; 2)CSHL lab	Limb; Limb	missing	missing
AMAD:6963	Liver	LIVER	tissue	mouse	missing	1)Dr. John Stamatoyannopoulos at UW; 2)CSHL lab	Liver; Liver	missing	missing
BTO:0000759	Liver_OC	LIVEROC	missing	human	missing	NICHD	1104; 602; 1442	missing	missing
BTO:0000759	Liver_STL004	LIVSTL004	missing	human	missing	Snyder lab	STL004	missing	missing
BTO:0000759	Liver_STL011	LIVSTL011	missing	human	missing	Snyder lab	STL011	missing	missing
BTO:0002104	Loucy	LOUCY	missing	human	missing	DSMZ	Loucy	missing	missing
AMAD:6948	Lung	LUNG	tissue	mouse	missing	1)LICR lab; 2)CSHL lab	Lung; Lung	missing	missing
BTO:0000763	Lung_BC	LUNGBC	missing	human	missing	BioChain; BioChain; BioChain; BioChain	CP-S12-D1234152-05_A610240; CP-S10-R1234152-20_A906114; CP-S13-D1234152-05_B402062; CP-S10-R1234152-20_B207133	missing	missing
BTO:0000763	Lung_OC	LUNGOC	missing	human	missing	NICHD ; NICHD ; NICHD ; CF Center ; CF Center	1104; 602; 1442; DD006I; DD007I	missing	missing
BTO:0000527	M059J	M059J	missing	human	missing	ATCC	CRL-2366	missing	missing
BTO:0000093	MCF-7	MCF7	missing	human	missing	ATCC	HTB-22	59401285	missing
BTO:0001939	MCF10A-Er-Src	MCF10AES	missing	human	missing	Struhl laboratory	MCF10A-Er-Src	missing	missing
BTO:0000815	MDA-MB-231	MDA	missing	human	missing	ATCC	HTB-26	missing	missing
AMAD:6948	MEF	MEF	primaryCells	mouse	missing	LICR lab	MEF	missing	missing
MP:0002026	MEL	MEL	cellLine	mouse	missing	Weissman lab	MEL	missing	missing
AMAD:7040	MEP	MEP	primaryCells	mouse	missing	Bodine lab	MEP	missing	missing
BTO:0002062	MRT_A204	MRTA204	missing	human	missing	ATCC	HTB-82	1	missing
BTO:0002062	MRT_G401	MRTG401	missing	human	missing	ATCC	CRL-1441	6	missing
BTO:0002062	MRT_TTC549	MRTTTC549	missing	human	missing	ATCC	TTC549	missing	missing
AMAD:7035	MammaryGland	MAMG	tissue	mouse	missing	CSHL lab	Mammary Gland	missing	missing
BTO:0001359	Medullo	MEDULLO	missing	human	missing	Dr. Darrell Bigner at Duke University Medical Center	missing	missing	missing
BTO:0001757	Medullo_D341	MEDULLOD341	missing	human	missing	Dr. Darrell Bigner at Duke University Medical Center	Medullo_D341	missing	missing
AMAD:7054	Megakaryo	MEGAKARYO	primaryCells	mouse	missing	Mitch Weiss lab	missing	missing	missing
BTO:0000849	Mel_2183	MEL2183	missing	human	missing	Dr. Yardena Samuels	Mel_2183	missing	missing
BTO:0000847	Melano	MELANO	missing	human	missing	ScienCell	2200	missing	missing
AMAD:3342	Mesoderm	MESODERM	tissue	mouse	missing	Selleri lab, Cornell	Mesoderm	missing	missing
BTO:0000876	Monocytes-CD14+	MONOCD14	missing	human	missing	S. Heimfeld Laboratory, FHCRC	Monocytes-CD14+	missing	missing
BTO:0000876	Monocytes-CD14+_RO01746	MONOCD14RO1746	missing	human	missing	S. Heimfeld Laboratory, FHCRC	Monocytes-CD14+_RO01746	missing	missing
BTO:0000876	Monocytes-CD14+_RO01826	MONOCD14RO1826	missing	human	missing	S. Heimfeld Laboratory, FHCRC	Monocytes-CD14+_RO01826	missing	missing
BTO:0000907	Myometr	MYOMETR	missing	human	missing	Dr. Jennifer Condon of Magee Women's Research Institute	missing	missing	missing
